id,gender,age,study_level,prfinal1,prfinal2,prfinal3,prfinal4,prfinal5,prfinal6,prfinal7,prfinal8,prfinal9,prfinal10,prfinal11,prfinal12,prfinal13,ended,start_capital,end_capital,partida_id,prfinal14,prfinal15,winnings
71,h,26,r6,r1,r1,r1,r2,r3,r2,r1,r1,r2,r2,r3,r3,r2,1,40,16,12,r1,r4,16
72,h,27,r5,r3,r1,r1,r2,r2,r2,r1,r2,r3,r2,r3,r3,r2,1,60,32,12,r1,r2,32
73,h,25,r6,r1,r1,r1,r3,r2,r3,r1,r2,r3,r2,r1,r3,r1,1,30,15,12,r2,r3,15
74,d,27,r6,r1,r1,r1,r3,r3,r2,r2,r1,r3,r2,r3,r3,r2,1,40,20,13,r1,r2,20
75,h,30,r6,r2,r1,r1,r2,r2,r1,r2,r1,r2,r2,r3,r2,r2,1,40,20,13,r1,r3,20
76,h,32,r5,r1,r2,r2,r3,r2,r1,r1,r1,r2,r2,r3,r3,r2,1,40,25,13,r1,r1,25
77,h,43,r5,r1,r2,r2,r3,r3,r2,r2,r1,r2,r2,r1,r3,r2,1,40,7,13,r3,r2,7
78,h,40,r6,r1,r2,r4,r3,r3,r1,r1,r2,r2,r2,r3,r3,r2,1,40,18,13,r1,r3,18
79,h,55,r6,r3,r1,r2,r2,r2,r3,r1,r1,r2,r2,r3,r3,r2,1,40,21,13,r1,r3,21
80,d,13,r3,r3,r1,r2,r3,r3,r1,r1,r1,r1,r2,r3,r3,r2,1,60,34,14,r3,r3,34
81,d,49,r6,r1,r1,r2,r3,r3,r3,r1,r1,r1,r2,r3,r3,r2,1,20,11,14,r1,r3,11
82,h,13,r2,r1,r1,r2,r2,r2,r1,r1,r1,r1,r2,r4,r3,r4,1,40,22,14,r1,r2,22
83,h,14,r3,r1,r1,r4,r2,r1,r1,r3,r2,r1,r1,r3,r3,r1,1,30,1,14,r1,r4,1
84,h,39,r6,r1,r2,r2,r1,r1,r1,r1,r1,r1,r2,r3,r3,r2,1,40,16,15,r2,r3,16
85,h,15,r3,r1,r2,r2,r2,r2,r2,r2,r3,r3,r2,r3,r1,r4,1,50,24,14,r3,r3,24
86,d,54,r6,r3,r1,r2,r2,r2,r1,r1,r1,r1,r2,r3,r3,r2,1,40,11,15,r2,r1,11
87,h,17,r2,r1,r2,r2,r2,r2,r2,r3,r3,r3,r2,r3,r1,r4,1,40,22,14,r3,r3,22
88,h,42,r6,r1,r1,r2,r2,r1,r3,r1,r2,r3,r2,r3,r3,r2,1,40,7,16,r3,r3,7
89,h,47,r6,r1,r3,r2,r2,r3,r1,r1,r1,r2,r2,r3,r3,r2,1,40,24,15,r2,r2,24
90,h,15,r3,r1,r1,r2,r3,r3,r2,r1,r1,r1,r2,r3,r3,r2,1,40,17,15,r1,r2,17
91,h,13,r3,r1,r1,r2,r3,r2,r1,r1,r1,r2,r2,r4,r3,r2,1,40,29,15,r2,r2,29
92,h,13,r2,r1,r1,r1,r2,r1,r3,r1,r2,r1,r1,r4,r2,r4,1,20,5,16,r4,r4,5
93,d,45,r6,r1,r2,r2,r2,r3,r1,r3,r1,r3,r2,r1,r3,r2,1,40,21,15,r1,r3,21
94,h,59,r6,r3,r2,r2,r2,r2,r1,r1,r1,r1,r2,r3,r3,r2,1,40,11,16,r3,r3,11
95,d,20,r4,r1,r2,r2,r1,r2,r1,r1,r3,r1,r2,r3,r3,r2,1,30,15,16,r2,r4,15
96,h,25,r6,r1,r2,r2,r3,r3,r1,r2,r1,r1,r2,r1,r3,r2,1,60,40,16,r2,r4,40
97,h,13,r2,r1,r1,r1,r4,r4,r3,r1,r2,r3,r4,r1,r4,r1,1,50,36,16,r4,r4,36
98,h,41,r6,r1,r1,r2,r3,r3,r1,r2,r2,r1,r3,r3,r3,r2,1,40,34,17,r1,r1,34
99,h,56,r5,r1,r2,r1,r3,r3,r3,r2,r3,r3,r2,r3,r3,r2,1,40,9,17,r1,r2,9
100,d,27,r6,r1,r1,r2,r4,r2,r1,r1,r1,r1,r2,r3,r3,r2,1,40,15,17,r3,r2,15
101,d,27,r6,r1,r2,r2,r2,r3,r3,r3,r1,r1,r2,r1,r1,r3,1,40,20,17,r2,r3,20
102,h,26,r6,r1,r2,r2,r3,r3,r1,r1,r1,r1,r2,r3,r3,r2,1,40,15,17,r1,r4,15
103,d,21,r4,r1,r3,r2,r3,r3,r2,r1,r1,r2,r2,r3,r3,r2,1,60,34,18,r1,r4,34
104,h,25,r6,r1,r2,r3,r2,r1,r1,r1,r1,r2,r2,r3,r3,r3,1,40,20,17,r2,r4,20
105,h,46,r6,r1,r2,r2,r3,r3,r1,r1,r2,r2,r2,r3,r3,r2,1,50,21,18,r2,r3,21
106,d,40,r5,r1,r1,r2,r3,r3,r3,r3,r1,r1,r2,r3,r3,r2,1,30,0,18,r2,r1,0
107,h,66,r6,r1,r1,r2,r2,r3,r2,r1,r1,r1,r2,r1,r3,r2,1,20,0,18,r1,r4,0
108,d,21,r5,r1,r2,r3,r3,r3,r3,r2,r3,r3,r1,r3,r1,r4,1,40,4,18,r3,r4,4
109,h,35,r6,r3,r2,r2,r3,r3,r1,r1,r2,r1,r2,r3,r3,r2,1,40,30,18,r1,r2,30
110,h,27,r6,r1,r1,r4,r3,r3,r1,r1,r2,r2,r2,r3,r3,r2,1,40,30,19,r1,r2,30
111,d,37,r6,r1,r1,r1,r2,r3,r1,r1,r2,r3,r2,r3,r3,r2,1,40,20,19,r3,r2,20
112,h,42,r4,r1,r1,r1,r1,r1,r1,r2,r1,r1,r2,r3,r3,r2,1,40,20,19,r3,r4,20
113,d,26,r6,r1,r2,r1,r2,r2,r1,r1,r3,r1,r2,r1,r3,r2,1,40,22,19,r1,r4,22
114,d,28,r6,r1,r2,r2,r3,r3,r1,r1,r2,r3,r2,r3,r3,r2,1,40,11,19,r1,r4,11
115,h,51,r4,r1,r2,r2,r2,r3,r1,r1,r2,r2,r2,r1,r3,r2,1,40,13,19,r1,r4,13
116,d,37,r5,r1,r2,r1,r3,r3,r1,r2,r2,r3,r2,r3,r3,r2,1,60,30,20,r1,r3,30
117,h,29,r5,r1,r1,r1,r2,r2,r1,r1,r2,r1,r2,r3,r3,r2,1,20,13,20,r4,r3,13
118,h,40,r4,r1,r2,r1,r3,r3,r1,r1,r1,r1,r2,r3,r3,r2,1,50,39,20,r1,r4,39
119,h,29,r5,r1,r1,r2,r3,r3,r1,r1,r2,r1,r2,r3,r3,r2,1,40,17,20,r2,r1,17
120,h,39,r2,r1,r2,r2,r3,r3,r2,r2,r2,r1,r2,r3,r3,r3,1,40,17,20,r2,r4,17
121,h,43,r6,r1,r2,r1,r3,r3,r3,r3,r3,r3,r2,r1,r3,r2,1,30,0,20,r1,r4,0
122,d,28,r6,r1,r2,r2,r3,r1,r1,r3,r1,r1,r2,r3,r3,r2,1,40,15,21,r1,r3,15
123,d,34,r6,r1,r2,r1,r3,r3,r1,r1,r1,r2,r2,r1,r3,r2,1,40,19,21,r2,r3,19
124,h,29,r3,r1,r1,r1,r2,r2,r1,r1,r1,r2,r4,r3,r3,r2,1,40,12,21,r3,r2,12
125,d,29,r6,r1,r2,r1,r3,r3,r2,r2,r2,r2,r2,r3,r3,r2,1,40,19,21,r2,r3,19
126,d,24,r6,r1,r1,r2,r2,r2,r2,r1,r2,r1,r2,r3,r3,r2,1,20,8,22,r1,r2,8
127,h,27,r6,r1,r2,r2,r2,r2,r1,r1,r2,r1,r2,r3,r3,r2,1,40,26,21,r1,r4,26
128,h,24,r6,r2,r2,r1,r3,r3,r3,r1,r1,r1,r2,r1,r3,r2,1,40,23,21,r1,r4,23
129,h,36,r6,r1,r2,r2,r1,r1,r2,r1,r1,r3,r2,r3,r3,r2,1,50,25,22,r1,r3,25
130,d,39,r6,r1,r2,r2,r3,r3,r3,r1,r1,r2,r2,r3,r3,r2,1,40,14,22,r2,r2,14
131,h,40,r3,r1,r1,r1,r2,r3,r2,r1,r2,r1,r2,r3,r3,r2,1,40,20,22,r1,r2,20
132,h,13,r2,r1,r1,r4,r3,r3,r1,r3,r3,r2,r2,r3,r3,r4,1,60,33,22,r1,r2,33
133,d,46,r6,r1,r1,r1,r3,r3,r1,r1,r1,r2,r2,r3,r3,r2,1,30,12,22,r1,r4,12
134,h,45,r5,r1,r1,r2,r3,r1,r3,r2,r1,r1,r2,r3,r2,r2,1,40,14,23,r1,r2,14
135,d,39,r7,r1,r1,r3,r2,r3,r3,r1,r3,r3,r2,r3,r3,r2,1,40,8,23,r2,r4,8
136,h,40,r6,r1,r3,r1,r2,r3,r3,r3,r2,r2,r2,r1,r3,r2,1,40,15,23,r3,r3,15
137,d,35,r6,r1,r3,r1,r3,r3,r3,r3,r3,r3,r2,r3,r3,r2,1,40,6,23,r2,r3,6
138,h,37,r5,r1,r2,r2,r2,r1,r2,r1,r1,r2,r2,r3,r2,r2,1,40,10,23,r1,r2,10
139,d,46,r6,r1,r1,r1,r2,r3,r3,r2,r1,r2,r2,r3,r3,r2,1,40,6,23,r3,r1,6
140,h,50,r5,r1,r2,r1,r2,r2,r2,r2,r2,r2,r2,r1,r1,r2,1,40,20,24,r3,r4,20
141,h,27,r6,r1,r2,r2,r2,r2,r1,r2,r1,r2,r2,r3,r3,r2,1,40,28,24,r3,r3,28
142,h,29,r6,r1,r1,r1,r3,r3,r1,r1,r2,r2,r2,r3,r3,r2,1,20,10,24,r1,r3,10
143,d,27,r6,r1,r1,r1,r3,r3,r3,r1,r2,r2,r2,r3,r3,r2,1,40,20,25,r1,r4,20
144,h,28,r5,r1,r2,r2,r2,r3,r3,r2,r2,r2,r2,r3,r3,r2,1,30,6,24,r4,r4,6
145,h,36,r4,r1,r2,r1,r2,r3,r3,r1,r2,r1,r2,r3,r3,r2,1,60,31,24,r3,r3,31
146,h,25,r6,r1,r1,r2,r2,r3,r3,r2,r2,r1,r2,r3,r3,r3,1,50,22,24,r3,r2,22
147,d,30,r3,r1,r2,r2,r3,r3,r2,r1,r2,r1,r2,r3,r3,r2,1,40,19,25,r1,r3,19
148,d,36,r6,r1,r2,r1,r3,r3,r2,r1,r2,r3,r2,r1,r3,r2,1,40,19,25,r1,r2,19
149,h,37,r6,r1,r2,r2,r3,r3,r3,r3,r3,r3,r2,r1,r3,r2,1,40,8,25,r1,r4,8
150,h,46,r6,r1,r1,r1,r3,r3,r1,r2,r1,r2,r2,r1,r3,r2,1,40,15,26,r1,r3,15
151,h,42,r6,r1,r2,r2,r3,r3,r1,r2,r1,r1,r1,r1,r3,r2,1,40,19,25,r2,r2,19
152,d,13,r3,r1,r2,r2,r2,r3,r2,r2,r3,r3,r2,r1,r3,r2,1,40,18,25,r1,r4,18
153,d,45,r5,r1,r2,r2,r3,r3,r2,r1,r1,r1,r2,r3,r2,r3,1,60,40,26,r1,r2,40
154,h,33,r6,r1,r2,r2,r3,r1,r2,r3,r3,r1,r2,r1,r3,r2,1,30,10,26,r1,r2,10
155,h,35,r6,r1,r2,r2,r3,r3,r1,r1,r1,r1,r2,r1,r3,r2,1,40,20,26,r3,r4,20
156,h,37,r6,r1,r1,r4,r3,r1,r3,r1,r1,r3,r2,r1,r4,r2,1,50,30,26,r1,r4,30
157,d,39,r6,r1,r1,r2,r2,r2,r1,r1,r1,r1,r2,r1,r1,r2,1,20,0,26,r3,r4,0
158,h,30,r5,r1,r2,r2,r3,r3,r1,r1,r2,r1,r2,r3,r1,r2,1,40,11,27,r1,r3,11
159,h,30,r3,r1,r2,r1,r3,r3,r1,r1,r2,r1,r2,r1,r3,r2,1,40,13,27,r1,r4,13
160,d,36,r6,r1,r1,r2,r3,r3,r2,r1,r2,r3,r2,r3,r3,r2,1,40,11,27,r1,r2,11
161,d,28,r5,r3,r1,r1,r3,r3,r1,r1,r1,r1,r2,r3,r3,r2,1,40,22,27,r3,r2,22
162,d,27,r6,r1,r1,r2,r2,r2,r2,r1,r2,r3,r2,r3,r3,r2,1,40,21,27,r1,r3,21
163,h,27,r5,r1,r1,r2,r3,r3,r1,r2,r3,r2,r2,r3,r3,r2,1,40,18,27,r3,r4,18
164,h,52,r6,r1,r4,r1,r3,r3,r3,r1,r2,r1,r2,r1,r3,r2,1,40,4,28,r1,r1,4
165,h,28,r4,r2,r1,r1,r1,r2,r1,r1,r2,r2,r2,r3,r2,r2,1,50,37,28,r1,r3,37
166,d,28,r6,r1,r2,r2,r3,r3,r3,r1,r1,r1,r2,r3,r3,r2,1,30,10,28,r1,r2,10
167,h,28,r6,r1,r1,r2,r2,r2,r3,r1,r2,r1,r2,r3,r3,r2,1,60,34,28,r1,r4,34
168,d,44,r6,r1,r1,r1,r3,r3,r3,r1,r1,r1,r2,r3,r3,r2,1,20,6,28,r1,r3,6
169,d,28,r6,r1,r1,r1,r2,r4,r3,r1,r3,r2,r2,r3,r4,r2,1,20,0,29,r1,r4,0
170,h,26,r6,r1,r2,r2,r3,r3,r1,r1,r1,r1,r2,r4,r3,r2,1,40,22,28,r3,r4,22
171,d,33,r6,r1,r1,r1,r2,r2,r2,r1,r1,r3,r2,r3,r3,r2,1,40,26,29,r1,r3,26
172,h,22,r4,r1,r2,r2,r3,r3,r1,r1,r1,r2,r2,r3,r4,r2,1,40,18,29,r2,r4,18
173,h,26,r6,r1,r2,r2,r2,r3,r2,r1,r2,r1,r2,r3,r3,r2,1,50,25,29,r2,r2,25
174,d,24,r6,r1,r2,r2,r3,r3,r2,r2,r3,r2,r2,r3,r3,r2,1,30,17,29,r1,r4,17
175,d,46,r6,r3,r1,r2,r3,r3,r2,r2,r2,r2,r2,r3,r3,r2,1,60,30,29,r1,r2,30
176,d,28,r4,r1,r1,r4,r3,r3,r2,r2,r1,r1,r2,r4,r1,r4,1,40,10,30,r1,r3,10
177,h,25,r6,r1,r1,r1,r2,r2,r3,r2,r2,r2,r2,r3,r3,r2,1,40,26,30,r1,r4,26
178,d,42,r6,r1,r1,r2,r3,r3,r1,r2,r2,r1,r2,r3,r3,r2,1,40,18,30,r1,r4,18
179,h,25,r6,,,,,,,,,,,,,NULL,0,40,18,30,NULL,NULL,18
180,d,20,r4,r1,r2,r2,r3,r3,r1,r1,r1,r2,r1,r3,r3,r2,1,50,12,31,r1,r3,12
181,h,20,r5,r1,r1,r2,r3,r3,r1,r1,r3,r1,r2,r3,r3,r2,1,40,20,30,r1,r3,20
182,h,41,r5,r1,r2,r2,r2,r2,r1,r1,r1,r1,r2,r3,r3,r2,1,40,16,30,r1,r4,16
183,h,37,r5,r1,r3,r1,r2,r2,r2,r1,r1,r1,r2,r4,r3,r3,1,20,8,31,r1,r4,8
184,d,45,r6,r1,r2,r3,r3,r3,r1,r1,r1,r2,r2,r1,r1,r2,1,40,24,31,r1,r3,24
185,d,12,r3,r1,r1,r1,r3,r3,r3,r3,r1,r1,r2,r3,r3,r2,1,40,28,32,r2,r3,28
